feature,dtype,rows,non_null,missing,missing_rate,inf_count,unique_count,variance,zero_variance
first30_in_total_ratio,float64,72603,72603,0,0.0,0,23,0.004987464552444558,False
last30_out_in_ratio,float64,72603,72602,1,1.3773535528834897e-05,0,30,0.21620953204446403,False
last30_out_total_ratio,float64,72603,72603,0,0.0,0,31,0.012586565394522813,False
last30_in_total_ratio,float64,72603,72603,0,0.0,0,31,0.012586565394522813,False
ratio_out_total,float64,72603,72603,0,0.0,0,62027,0.008913210459750727,False
ratio_in_total,float64,72603,72603,0,0.0,0,62027,0.008913210459750725,False
ratio_out_in,float64,72603,72603,0,0.0,0,62027,0.13883815532748792,False
ratio_in_bursts_total,float64,72603,72603,0,0.0,0,4510,6.767997281252166e-06,False
ratio_out_bursts_total,float64,72603,72603,0,0.0,0,4510,6.767997281252153e-06,False
ratio_out_in_bursts,float64,72603,72603,0,0.0,0,4510,0.00016492733598831336,False
ratio_pkts_firstN_bursts_total,float64,72603,72603,0,0.0,0,53092,0.014348926197366716,False
ngrams_2_unique,int64,72603,72603,0,0.0,0,3,0.006432010593974527,False
ngrams_2_total_occurrences,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
ngrams_2_entropy,float64,72603,72603,0,0.0,0,72221,0.039593761739940156,False
ngrams_2_mean_count,float64,72603,72603,0,0.0,0,12032,639300.8791594933,False
ngrams_2_std_count,float64,72603,72603,0,0.0,0,67105,230083.17088029606,False
ngrams_2_max_count,int64,72603,72603,0,0.0,0,5766,1525468.0020417813,False
ngrams_2_min_count,int64,72603,72603,0,0.0,0,1206,21220.349984885943,False
ngrams_2_possible_windows,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
ngrams_2_sparsity,float64,72603,72603,0,0.0,0,12032,1.935747387446356e-05,False
ngrams_2_topk_cumfrac,float64,72603,72603,0,0.0,0,1,0.0,True
ngrams_2_top1_count,int64,72603,72603,0,0.0,0,5766,1525468.0020417813,False
ngrams_2_top1_frac,float64,72603,72603,0,0.0,0,59127,0.00666427069031163,False
ngrams_2_top2_count,int64,72603,72603,0,0.0,0,5234,1098892.156828921,False
ngrams_2_top2_frac,float64,72603,72603,0,0.0,0,60558,0.002454950913208291,False
ngrams_2_top3_count,int64,72603,72603,0,0.0,0,4755,894765.6571453203,False
ngrams_2_top3_frac,float64,72603,72603,0,0.0,0,61872,0.0030892723545611713,False
ngrams_2_top4_count,int64,72603,72603,0,0.0,0,1207,21225.297989239545,False
ngrams_2_top4_frac,float64,72603,72603,0,0.0,0,55926,0.0006219545287452152,False
ngrams_2_top5_count,int64,72603,72603,0,0.0,0,1,0.0,True
ngrams_2_top5_frac,float64,72603,72603,0,0.0,0,1,0.0,True
ngrams_3_unique,int64,72603,72603,0,0.0,0,7,0.10471426123090015,False
ngrams_3_total_occurrences,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
ngrams_3_entropy,float64,72603,72603,0,0.0,0,72593,0.08774101793043294,False
ngrams_3_mean_count,float64,72603,72603,0,0.0,0,12021,162929.05948275884,False
ngrams_3_std_count,float64,72603,72603,0,0.0,0,71081,195379.36900165796,False
ngrams_3_max_count,int64,72603,72603,0,0.0,0,5257,1182822.2244035827,False
ngrams_3_min_count,int64,72603,72603,0,0.0,0,374,1502.2364242772308,False
ngrams_3_possible_windows,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
ngrams_3_sparsity,float64,72603,72603,0,0.0,0,12021,7.78082895592635e-05,False
ngrams_3_topk_cumfrac,float64,72603,72603,0,0.0,0,59075,0.0007304478503701994,False
