fold,site_label,n_queries,xgb_accuracy,ltd_accuracy,ltd_only_rescues,xgb_only_correct,both_wrong,mean_xgb_true_rank,mean_ltd_true_rank
B_EARLY_MIDDLE_TO_LATE,107,266,0.868421052631579,0.7556390977443609,16,46,19,1.3195488721804511,1.4473684210526316
B_EARLY_MIDDLE_TO_LATE,108,279,0.974910394265233,0.96415770609319,3,6,4,1.0896057347670252,1.0573476702508962
B_EARLY_MIDDLE_TO_LATE,109,292,0.8458904109589042,0.8801369863013698,24,14,21,1.3972602739726028,1.2671232876712328
B_EARLY_MIDDLE_TO_LATE,11,285,0.9122807017543859,0.8771929824561403,7,17,18,1.4350877192982456,1.4280701754385965
B_EARLY_MIDDLE_TO_LATE,110,223,0.515695067264574,0.4618834080717489,3,15,105,2.497757847533632,2.309417040358744
B_EARLY_MIDDLE_TO_LATE,113,307,0.8664495114006515,0.6221498371335505,7,82,34,1.3029315960912051,1.703583061889251
B_EARLY_MIDDLE_TO_LATE,117,305,0.6,0.09180327868852459,9,164,113,1.5836065573770493,2.259016393442623
B_EARLY_MIDDLE_TO_LATE,12,304,0.7335526315789473,0.4276315789473684,7,100,74,2.0164473684210527,2.8453947368421053
B_EARLY_MIDDLE_TO_LATE,14,265,0.6075471698113207,0.49433962264150944,30,60,74,2.2264150943396226,2.3433962264150945
B_EARLY_MIDDLE_TO_LATE,18,304,0.8947368421052632,0.805921052631579,6,33,26,1.430921052631579,1.5460526315789473
B_EARLY_MIDDLE_TO_LATE,2,298,0.8993288590604027,0.9932885906040269,28,0,2,1.1946308724832215,1.0335570469798658
B_EARLY_MIDDLE_TO_LATE,21,295,0.8847457627118644,0.823728813559322,12,30,22,1.4203389830508475,1.6542372881355931
B_EARLY_MIDDLE_TO_LATE,24,244,0.860655737704918,0.8155737704918032,12,23,22,1.319672131147541,1.3319672131147542
B_EARLY_MIDDLE_TO_LATE,25,304,0.9177631578947368,0.8717105263157895,8,22,17,1.180921052631579,1.2664473684210527
B_EARLY_MIDDLE_TO_LATE,27,303,0.0594059405940594,0.2706270627062706,71,7,214,7.204620462046204,3.4356435643564356
B_EARLY_MIDDLE_TO_LATE,28,294,0.9693877551020408,0.9863945578231292,5,0,4,1.163265306122449,1.1122448979591837
B_EARLY_MIDDLE_TO_LATE,29,305,0.5868852459016394,0.21967213114754097,10,122,116,1.7442622950819673,3.042622950819672
B_EARLY_MIDDLE_TO_LATE,31,269,0.9182156133828996,0.8587360594795539,18,34,4,1.0855018587360594,1.1635687732342008
B_EARLY_MIDDLE_TO_LATE,34,290,0.8862068965517241,0.9137931034482759,22,14,11,1.2344827586206897,1.3
B_EARLY_MIDDLE_TO_LATE,35,298,0.9228187919463087,0.8993288590604027,11,18,12,1.6778523489932886,1.4597315436241611
B_EARLY_MIDDLE_TO_LATE,36,299,0.8929765886287625,0.8896321070234113,14,15,18,1.3277591973244147,1.2842809364548495
B_EARLY_MIDDLE_TO_LATE,37,304,0.7861842105263158,0.7072368421052632,27,51,38,1.480263157894737,1.631578947368421
B_EARLY_MIDDLE_TO_LATE,39,298,0.8557046979865772,0.7651006711409396,18,45,25,1.348993288590604,1.4395973154362416
B_EARLY_MIDDLE_TO_LATE,40,300,0.83,0.77,17,35,34,1.3133333333333332,1.6266666666666667
B_EARLY_MIDDLE_TO_LATE,41,239,0.9372384937238494,0.9246861924686193,3,6,12,1.2384937238493723,1.393305439330544
