fold,prototype_type,query_type,distance_metric,site_label,n_queries,top1_accuracy,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,63,14,0.21428571428571427,0.9285714285714286,0.4726190476190476,2.9285714285714284
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,68,14,0.5714285714285714,0.9285714285714286,0.7537593984962406,2.642857142857143
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,7,14,0.7857142857142857,0.9285714285714286,0.8616071428571429,2.2142857142857144
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,71,14,0.6428571428571429,0.6428571428571429,0.6484552154195011,23.428571428571427
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,72,14,0.7857142857142857,1.0,0.880952380952381,1.2857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,76,14,0.2857142857142857,0.6428571428571429,0.4781746031746032,4.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,77,14,0.21428571428571427,0.21428571428571427,0.23279472674722873,36.714285714285715
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,78,14,0.14285714285714285,0.35714285714285715,0.2620748299319728,8.142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,80,14,0.2857142857142857,0.42857142857142855,0.3574162303247884,10.928571428571429
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,81,14,0.7142857142857143,1.0,0.8357142857142856,1.5
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,86,14,0.42857142857142855,1.0,0.6666666666666666,1.8571428571428572
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,89,14,0.14285714285714285,0.5,0.33895073180787466,6.142857142857143
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,9,14,0.42857142857142855,0.7857142857142857,0.5973989595838335,4.571428571428571
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,90,14,0.7857142857142857,1.0,0.8535714285714285,1.5714285714285714
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,92,14,0.7142857142857143,0.8571428571428571,0.7702380952380953,2.2142857142857144
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,96,14,0.42857142857142855,0.7857142857142857,0.5770691609977324,3.357142857142857
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,97,14,0.7857142857142857,1.0,0.8809523809523808,1.2857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,98,14,0.5,0.8571428571428571,0.6694302721088435,3.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,0,14,0.5714285714285714,1.0,0.7380952380952381,1.7857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,10,14,0.5714285714285714,0.7857142857142857,0.6987012987012987,3.2857142857142856
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,102,14,0.35714285714285715,0.6428571428571429,0.5310626674912389,6.071428571428571
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,104,14,0.6428571428571429,0.8571428571428571,0.7324263038548752,2.5
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,105,12,0.6666666666666666,0.9166666666666666,0.7569444444444445,2.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,106,14,0.14285714285714285,0.8571428571428571,0.4865079365079365,2.9285714285714284
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,107,14,0.42857142857142855,0.7857142857142857,0.5837585034013605,3.5714285714285716
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,108,14,1.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,109,14,0.42857142857142855,0.9285714285714286,0.576530612244898,3.2857142857142856
