rank_temporal_stability,feature,valid_sites_min,missing_rows_max,ks_mean,ks_worst,wasserstein_norm_mean,wasserstein_norm_worst,median_shift_norm_mean,median_shift_norm_worst,ks_worst_stability_percentile,wasserstein_norm_worst_stability_percentile,median_shift_norm_worst_stability_percentile,temporal_stability_score
96,cumul_out_std,65,0,0.024475072778574396,0.030715822302885165,0.05216347398847307,0.06445976411938437,0.011877087134055246,0.017658011975588674,0.5080385852090032,0.6977491961414791,0.6977491961414791,0.6345123258306539
97,cumul_interp_out_last,65,0,0.024634860325419044,0.030494924692383074,0.05241953233861712,0.06498993627910873,0.012142371609071669,0.0180752320468979,0.5385852090032154,0.6816720257234726,0.6784565916398714,0.6329046087888531
98,cumul_interp_out_max,65,0,0.024634860325419044,0.030494924692383074,0.05241953233861712,0.06498993627910873,0.012142371609071669,0.0180752320468979,0.5385852090032154,0.6816720257234726,0.6784565916398714,0.6329046087888531
99,cumul_out_last,65,0,0.024634860325419044,0.030494924692383074,0.05241953233861712,0.06498993627910873,0.012142371609071669,0.0180752320468979,0.5385852090032154,0.6816720257234726,0.6784565916398714,0.6329046087888531
100,cumul_out_max,65,0,0.024634860325419044,0.030494924692383074,0.05241953233861712,0.06498993627910873,0.012142371609071669,0.0180752320468979,0.5385852090032154,0.6816720257234726,0.6784565916398714,0.6329046087888531
101,total_out,65,0,0.024634860325419044,0.030494924692383074,0.05241953233861712,0.06498993627910873,0.012142371609071669,0.0180752320468979,0.5385852090032154,0.6816720257234726,0.6784565916398714,0.6329046087888531
102,cumul_interp_out_diffs_mean,65,0,0.024634860325419044,0.030494924692383074,0.052419722941617904,0.06499030662702426,0.012142371609071667,0.018075232046897895,0.5385852090032154,0.6720257234726688,0.6881028938906752,0.6329046087888531
103,cumul_interp_in_diffs_p90,65,0,0.02641033262603909,0.028850010628218792,0.05518809114498851,0.07164303199935271,0.012742392367332706,0.019068736141904127,0.6720257234726688,0.5659163987138264,0.6559485530546624,0.6312968917470525
104,sizes_hist_gt1500,65,0,0.026543766149387943,0.03066725334054307,0.05169630226303177,0.06254963752299608,0.013343392917522285,0.01989578398863098,0.5144694533762058,0.7266881028938906,0.6527331189710611,0.6312968917470525
105,iat_min,65,0,0.01675371313662612,0.02146849564202502,0.15600236860215658,0.18589765812096043,0.0,0.0,0.8167202572347267,0.14469453376205788,0.927652733118971,0.6296891747052519
106,ngrams_2_top2_count,65,0,0.025385951288530172,0.030165989698393375,0.05293830023296046,0.06812545577112271,0.014526009007048708,0.02168021680216802,0.617363344051447,0.6270096463022508,0.6302250803858521,0.62486602357985
107,num_bursts_in,65,0,0.025460263588357495,0.03022271216611766,0.05296860316964991,0.0681420348483013,0.0151362588823924,0.022583559168925023,0.612540192926045,0.6237942122186495,0.6093247588424437,0.6152197213290461
108,cumul_interp_out_diffs_median,65,0,0.025275828126006716,0.03172110545933568,0.05236518061190176,0.06329375615768128,0.013837896950337186,0.020613614573353475,0.4807073954983923,0.7154340836012861,0.6479099678456591,0.6146838156484459
109,cumul_interp_out_diffs_p50,65,0,0.025275828126006716,0.03172110545933568,0.05236518061190176,0.06329375615768128,0.013837896950337186,0.020613614573353475,0.4807073954983923,0.7154340836012861,0.6479099678456591,0.6146838156484459
110,ratio_pkts_firstN_bursts_total,65,0,0.024184866966759987,0.02951670713156951,0.05216846144910986,0.0713468689037763,0.014851201872730665,0.022231464853344683,0.639871382636656,0.5819935691318328,0.6205787781350482,0.6141479099678456
111,transition_p1_to_m1,65,0,0.025440911870892573,0.03022271216611766,0.05296935846355092,0.06814254325801967,0.0151362588823924,0.022583559168925023,0.612540192926045,0.6205787781350482,0.6093247588424437,0.6141479099678456
112,ngrams_3_min_count,65,0,0.011022747951980735,0.013292687308149698,0.06338018783736597,0.09195728800209141,0.022222222222222223,0.03333333333333333,0.909967845659164,0.40192926045016075,0.5241157556270096,0.6120042872454449
