rank_site_persistence,feature,valid_sites_min,spearman_mean,spearman_worst,site_shift_norm_median_mean,site_shift_norm_p90_worst,identity_mrr_mean,identity_mrr_worst,identity_top1_worst,identity_top5_worst,drift_to_separation_median_mean,drift_to_separation_p90_worst,spearman_worst_persistence_percentile,identity_mrr_worst_persistence_percentile,site_shift_p90_persistence_percentile,drift_separation_p90_persistence_percentile,site_persistence_score
77,cumul_interp_in_last,65,0.9400185491267226,0.9048810604034637,0.02977549905302658,0.4529570182053216,0.5397289370903947,0.4490868027672729,0.24615384615384617,0.6461538461538462,0.039182412133471074,0.7295536575866806,0.6864951768488746,0.8038585209003215,0.6463022508038585,0.657556270096463,0.6985530546623794
78,cumul_interp_in_max,65,0.9400185491267226,0.9048810604034637,0.02977549905302658,0.4529570182053216,0.5397289370903947,0.4490868027672729,0.24615384615384617,0.6461538461538462,0.039182412133471074,0.7295536575866806,0.6864951768488746,0.8038585209003215,0.6463022508038585,0.657556270096463,0.6985530546623794
79,total_in,65,0.9400185491267226,0.9048810604034637,0.02977549905302658,0.4529570182053216,0.5397289370903947,0.4490868027672729,0.24615384615384617,0.6461538461538462,0.039182412133471074,0.7295536575866806,0.6864951768488746,0.8038585209003215,0.6463022508038585,0.657556270096463,0.6985530546623794
80,cumul_in_mean,65,0.9383741258741258,0.9016608391608392,0.028609546864364076,0.4787053166488387,0.5565319798806829,0.48401148530956223,0.3076923076923077,0.6615384615384615,0.04458432230278455,0.7442304515877898,0.6446945337620579,0.9823151125401929,0.5627009646302251,0.6012861736334405,0.6977491961414791
81,burst_histogram_3_5,65,0.9617662786814182,0.9383885738575145,0.0788837373940831,0.5362229102167186,0.3239150251435364,0.2901273030744424,0.1076923076923077,0.4307692307692308,0.12938072071756332,0.6019853258523954,0.9517684887459807,0.5144694533762058,0.4115755627009646,0.9067524115755627,0.6961414790996785
82,cumul_interp_in_auc,65,0.9383741258741258,0.9016608391608392,0.028625261527024864,0.4787470858776131,0.5565319798806829,0.48401148530956223,0.3076923076923077,0.6615384615384615,0.044679260153624833,0.7442877633591659,0.6446945337620579,0.9823151125401929,0.5594855305466238,0.594855305466238,0.6953376205787781
83,cumul_interp_in_diffs_mean,65,0.9400185491267226,0.9048810604034637,0.02977549905302652,0.45295701820532164,0.5381812644900905,0.4476383097398325,0.24615384615384617,0.6461538461538462,0.03918241213347101,0.7295536575866806,0.6864951768488746,0.7909967845659164,0.6366559485530546,0.657556270096463,0.6929260450160771
84,cumul_interp_in_mean,65,0.9377913752913752,0.900305944055944,0.028394502380750124,0.4785027650127574,0.5587513669641828,0.48372825461867014,0.3076923076923077,0.6615384615384615,0.04446289619488115,0.7442416414634692,0.6109324758842444,0.977491961414791,0.5659163987138264,0.5980707395498392,0.6881028938906752
85,sizes_hist_1_500,65,0.9382340529723513,0.9025328350706964,0.0244177744223589,0.5266127167630061,0.5386384078630718,0.46466458363600344,0.2923076923076923,0.676923076923077,0.04379845719734513,0.70561824625891,0.6527331189710611,0.9163987138263665,0.43729903536977494,0.7427652733118971,0.6872990353697749
86,ngrams_3_top4_count,65,0.9584772053272714,0.933425130815481,0.07641059322515241,0.47459807073954985,0.32966731353910195,0.26621034234989643,0.07692307692307693,0.46153846153846156,0.12979913844293098,0.7044062680476375,0.932475884244373,0.4887459807073955,0.5691318327974276,0.7588424437299035,0.6872990353697749
87,ngrams_2_top2_count,65,0.9382125124740197,0.9014183004403424,0.027194771643975286,0.5350936149783968,0.5201248013604753,0.476917242950614,0.27692307692307694,0.6615384615384615,0.04140051344863799,0.7241175585525033,0.639871382636656,0.9678456591639871,0.43086816720257237,0.6977491961414791,0.6840836012861736
88,burst_histogram_6_10,65,0.9562659113495163,0.9281368868464475,0.1111111111111111,0.5555555555555556,0.2819616867758046,0.2637441945885269,0.015384615384615385,0.46153846153846156,0.15,0.541818181818182,0.9228295819935691,0.4758842443729904,0.3954983922829582,0.9356913183279743,0.682475884244373
89,num_bursts_in,65,0.9381696421834312,0.9013865973723991,0.02703474603987863,0.5350936149783968,0.5283889446246186,0.4753787814121524,0.2923076923076923,0.6615384615384615,0.041657335855069776,0.7241175585525033,0.635048231511254,0.9630225080385852,0.43086816720257237,0.6977491961414791,0.6816720257234726
90,transition_p1_to_m1,65,0.9381696421834312,0.9013865973723991,0.02703474603987863,0.5350936149783968,0.5283889446246186,0.4753787814121524,0.2923076923076923,0.6615384615384615,0.041657335855069776,0.7241175585525033,0.635048231511254,0.9630225080385852,0.43086816720257237,0.6977491961414791,0.6816720257234726
91,ngrams_3_max_count,65,0.9384969360258594,0.9032540046766756,0.033186458486768156,0.41605200650081264,0.5023844866011529,0.40961106133902103,0.2153846153846154,0.6461538461538462,0.04791916818900155,0.7702786377708983,0.6607717041800643,0.7379421221864951,0.7604501607717041,0.5546623794212219,0.6784565916398714
92,ngrams_3_top1_count,65,0.9384969360258594,0.9032540046766756,0.033186458486768156,0.41605200650081264,0.5023844866011529,0.40961106133902103,0.2153846153846154,0.6461538461538462,0.04791916818900155,0.7702786377708983,0.6607717041800643,0.7379421221864951,0.7604501607717041,0.5546623794212219,0.6784565916398714
93,num_bursts_out,65,0.9381325870031262,0.9012554770585767,0.027036357751227088,0.5351578441963751,0.5219397910856817,0.48449642847097596,0.2923076923076923,0.6615384615384615,0.042042766792528996,0.7245451201928559,0.6254019292604501,0.9887459807073955,0.41639871382636656,0.6832797427652733,0.6784565916398713
94,transition_m1_to_p1,65,0.9381325870031262,0.9012554770585767,0.027036357751227088,0.5351578441963751,0.5219397910856817,0.48449642847097596,0.2923076923076923,0.6615384615384615,0.042042766792528996,0.7245451201928559,0.6254019292604501,0.9887459807073955,0.41639871382636656,0.6832797427652733,0.6784565916398713
95,burst_histogram_2,65,0.9435152264626009,0.9104537955240474,0.0412447623985096,0.4367883211678834,0.4387447038750935,0.3593346177672083,0.15384615384615385,0.6307692307692307,0.06704506855839877,0.7661784820844864,0.7620578778135049,0.6688102893890675,0.7170418006430869,0.5627009646302251,0.6776527331189711
96,burst_count,65,0.9380827505827506,0.9012237762237761,0.027035551671513097,0.5351257276600854,0.52684318834202,0.4794813455147165,0.3076923076923077,0.6615384615384615,0.04185008281369098,0.7243310958865519,0.6189710610932476,0.9726688102893891,0.4228295819935691,0.6897106109324759,0.6760450160771705
97,burst_durations_count,65,0.9380827505827506,0.9012237762237761,0.027035551671513097,0.5351257276600854,0.52684318834202,0.4794813455147165,0.3076923076923077,0.6615384615384615,0.04185008281369098,0.7243310958865519,0.6189710610932476,0.9726688102893891,0.4228295819935691,0.6897106109324759,0.6760450160771705
98,burst_histogram_1,65,0.9425029117554337,0.9071320083149151,0.027803767389110844,0.49638604121362756,0.5151013525164311,0.45964612292880797,0.26153846153846155,0.7076923076923077,0.04419754508955495,0.7638420513512103,0.7331189710610932,0.8617363344051447,0.5337620578778135,0.5659163987138264,0.6736334405144695
99,cumul_interp_in_diffs_p90,65,0.9414231772061997,0.9054133802385396,0.031751087544188865,0.48366844727208114,0.4980881127672978,0.4301544326312061,0.23076923076923078,0.6461538461538462,0.050402947252022524,0.7262301404277972,0.7041800643086816,0.7588424437299035,0.5498392282958199,0.6784565916398714,0.6728295819935691
100,pps_w10_mean,65,0.9330197645086167,0.8925262237762237,0.05489097855615449,0.46236452758915303,0.4408933278152198,0.3697087171903138,0.2,0.5538461538461539,0.08632779932491715,0.675717874524629,0.5530546623794212,0.6945337620578779,0.5916398713826366,0.8488745980707395,0.6720257234726688
101,tam_5s_out_mean,65,0.932736013986014,0.8885489510489512,0.058511727036409056,0.39610856645342013,0.4124225088765137,0.3402153601618889,0.13846153846153847,0.5384615384615384,0.09811435287036903,0.7135972338288417,0.5209003215434084,0.6334405144694534,0.797427652733119,0.729903536977492,0.6704180064308682
102,sizes_hist_gt1500,65,0.9382352580565922,0.9035282291648322,0.026998766903996482,0.5038858496418703,0.5319234689972335,0.45370238302105487,0.27692307692307694,0.6615384615384615,0.039090461824691586,0.7270143130091618,0.6655948553054662,0.8263665594855305,0.5048231511254019,0.6752411575562701,0.6680064308681671
103,burst_std,65,0.954268648018648,0.9382867132867133,0.12817293750731373,0.5164398527509506,0.2569706351241707,0.24841199453196067,0.09230769230769231,0.38461538461538464,0.18795097230633742,0.6946592986963654,0.9485530546623794,0.4340836012861736,0.4533762057877814,0.8263665594855305,0.6655948553054662
104,ngrams_4_top2_count,65,0.9422764732940553,0.9092299791838406,0.04249713867327382,0.46288045183558224,0.43899552385571566,0.3632779168974457,0.16923076923076924,0.5538461538461539,0.07122616516090156,0.7345822636420549,0.7459807073954984,0.6752411575562701,0.5884244372990354,0.6366559485530546,0.6615755627009646
105,cumul_interp_out_slope_norm,65,0.9103875291375291,0.8535402097902097,0.08124248561782757,0.4266524887794911,0.3404891847813125,0.29637992034169863,0.1076923076923077,0.5076923076923077,0.12494227586183711,0.49519619555858807,0.3954983922829582,0.5209003215434084,0.7491961414790996,0.9807073954983923,0.6615755627009645
106,burst_durations_skew,65,0.9341054778554779,0.8930506993006992,0.09213938967654696,0.4454169964204873,0.3299094151437462,0.3105778874599945,0.13846153846153847,0.4461538461538462,0.140092065083914,0.6723258653431415,0.5594855305466238,0.5530546623794212,0.6784565916398714,0.8520900321543409,0.6607717041800644
107,ngrams_3_top3_count,65,0.9440656482877685,0.9100723354968421,0.041546885863512684,0.4669967958054182,0.4226886338008225,0.35940188982329446,0.12307692307692308,0.5538461538461539,0.07013969800768494,0.738525664200334,0.7556270096463023,0.6720257234726688,0.5787781350482315,0.6334405144694534,0.659967845659164
108,cumul_interp_in_slope_norm,65,0.889597902097902,0.8210227272727273,0.09038488609172474,0.38823965343416866,0.3116198917352721,0.2663454172017307,0.06153846153846154,0.49230769230769234,0.1276848657745517,0.49072778889286456,0.35691318327974275,0.4919614147909968,0.8070739549839229,0.9839228295819936,0.659967845659164
109,cumul_interp_in_diffs_p75,65,0.9406338015735791,0.9058824817448787,0.029531425364758546,0.45749158249158106,0.4841918327102321,0.43354195018820524,0.18461538461538463,0.676923076923077,0.044552914731487335,0.7746894299841459,0.7138263665594855,0.7652733118971061,0.617363344051447,0.5401929260450161,0.6591639871382636
110,ngrams_4_top3_count,65,0.9400913034584907,0.9039075136561265,0.04264763909600964,0.4391005621486573,0.4412034006802559,0.3675647987261335,0.2,0.6153846153846154,0.07419080863281872,0.7628431843913334,0.6688102893890675,0.6881028938906752,0.7041800643086816,0.5691318327974276,0.657556270096463
