fold,site_label,n,v2_accuracy,age_accuracy,delta_accuracy,age_only_correct_n,v2_only_correct_n
A_EARLY_TO_MIDDLE,52,325,0.8584615384615385,0.8584615384615385,0.0,1,1
A_EARLY_TO_MIDDLE,53,326,0.9478527607361963,0.9386503067484663,-0.009202453987730008,1,4
A_EARLY_TO_MIDDLE,54,328,0.8932926829268293,0.8932926829268293,0.0,2,2
A_EARLY_TO_MIDDLE,55,321,0.8753894080996885,0.8504672897196262,-0.024922118380062308,0,8
A_EARLY_TO_MIDDLE,57,269,0.10037174721189591,0.09293680297397769,-0.007434944237918226,0,2
A_EARLY_TO_MIDDLE,6,286,0.8111888111888111,0.7762237762237763,-0.03496503496503489,2,12
A_EARLY_TO_MIDDLE,60,332,0.7831325301204819,0.7590361445783133,-0.02409638554216864,4,12
A_EARLY_TO_MIDDLE,61,330,0.9484848484848485,0.9575757575757575,0.009090909090909038,3,0
A_EARLY_TO_MIDDLE,63,331,0.8580060422960725,0.8761329305135952,0.01812688821752273,7,1
A_EARLY_TO_MIDDLE,68,330,0.6575757575757576,0.6454545454545455,-0.012121212121212088,7,11
A_EARLY_TO_MIDDLE,7,328,0.9024390243902439,0.9298780487804879,0.027439024390243927,9,0
A_EARLY_TO_MIDDLE,71,329,0.6139817629179332,0.5866261398176292,-0.027355623100303927,0,9
A_EARLY_TO_MIDDLE,72,304,0.8289473684210527,0.819078947368421,-0.009868421052631637,2,5
A_EARLY_TO_MIDDLE,76,296,0.8513513513513513,0.8513513513513513,0.0,3,3
A_EARLY_TO_MIDDLE,77,302,0.2251655629139073,0.2251655629139073,0.0,0,0
A_EARLY_TO_MIDDLE,78,334,0.48502994011976047,0.49700598802395207,0.0119760479041916,13,9
A_EARLY_TO_MIDDLE,80,334,0.718562874251497,0.7155688622754491,-0.0029940119760478723,3,4
A_EARLY_TO_MIDDLE,81,260,0.7730769230769231,0.7653846153846153,-0.007692307692307776,4,6
A_EARLY_TO_MIDDLE,86,329,0.7203647416413373,0.7264437689969605,0.006079027355623157,3,1
A_EARLY_TO_MIDDLE,89,330,0.7363636363636363,0.6515151515151515,-0.08484848484848484,1,29
A_EARLY_TO_MIDDLE,9,328,0.8109756097560976,0.8048780487804879,-0.0060975609756097615,3,5
A_EARLY_TO_MIDDLE,90,318,0.8584905660377359,0.839622641509434,-0.018867924528301883,4,10
A_EARLY_TO_MIDDLE,92,235,0.8680851063829788,0.8340425531914893,-0.03404255319148941,3,11
A_EARLY_TO_MIDDLE,96,330,0.7090909090909091,0.7606060606060606,0.051515151515151514,17,0
A_EARLY_TO_MIDDLE,97,311,0.33762057877813506,0.3279742765273312,-0.009646302250803873,0,3
A_EARLY_TO_MIDDLE,98,326,0.941717791411043,0.9386503067484663,-0.0030674846625766694,1,2
B_EARLY_MIDDLE_TO_LATE,0,271,0.8265682656826568,0.8191881918819188,-0.0073800738007380184,1,3
