rank_representatives,feature,rank_discriminability,score_min,rank_temporal_stability,temporal_stability_score,rank_site_persistence,site_persistence_score,cluster_id,cluster_size,cluster_members,min_similarity_to_cluster,dtp_min,dtp_geometric_mean,dtp_arithmetic_mean,dtp_balance_gap,rank_within_cluster,is_cluster_representative,pareto_front
70,last30_out_in_ratio,259,0.195069667738478,153,0.5444801714898178,296,0.1688102893890675,18,3,last30_in_total_ratio|last30_out_in_ratio|last30_out_total_ratio,1.0,0.1688102893890675,0.26173205137731587,0.30278670953912107,0.37566988210075025,1,True,6
71,burst_durations_median,296,0.067524115755627,24,0.92550911039657,222,0.2813504823151125,53,1,burst_durations_median,1.0,0.067524115755627,0.26003337291351714,0.42479456948910316,0.857984994640943,1,True,6
72,sizes_p25,310,0.0091103965702036,15,0.944801714898178,250,0.2813504823151125,130,1,sizes_p25,1.0,0.0091103965702036,0.1342894431448849,0.41175419792783136,0.9356913183279744,1,True,6
73,burst_durations_min,311,0.0080385852090032,11,0.952304394426581,223,0.2813504823151125,54,1,burst_durations_min,1.0,0.0080385852090032,0.12914205433146883,0.41389782065023223,0.9442658092175777,1,True,6
74,tam_4s_out_max,118,0.6034297963558414,167,0.5005359056806002,140,0.5643086816720257,45,2,tam_4s_out_max|tam_4s_out_std,0.990476526845314,0.5005359056806002,0.5544464067301104,0.5560914612361557,0.10289389067524113,1,True,7
75,concentration_25pct,114,0.6077170418006431,195,0.420150053590568,177,0.4831189710610932,24,2,bytes_first25pct|concentration_25pct,0.9886480699847472,0.420150053590568,0.4977981863860773,0.503662022150768,0.18756698821007511,1,True,7
76,burst_histogram_gt10,196,0.3558413719185423,156,0.5364415862808145,193,0.3971061093247588,64,1,burst_histogram_gt10,1.0,0.3558413719185423,0.423215744063579,0.4297963558413718,0.1806002143622722,1,True,7
77,ngrams_4_top5_count,148,0.5230439442658091,235,0.270096463022508,138,0.5715434083601285,113,1,ngrams_4_top5_count,1.0,0.270096463022508,0.43221725274576456,0.4548946052161485,0.3014469453376205,1,True,7
78,burst_durations_p50,297,0.0664523043944265,25,0.92550911039657,225,0.2813504823151125,56,1,burst_durations_p50,1.0,0.0664523043944265,0.2586501905147033,0.4244372990353697,0.8590568060021435,1,True,7
79,tam_3s_out_std,141,0.5434083601286174,169,0.4962486602357985,157,0.5297427652733119,43,2,tam_3s_out_max|tam_3s_out_std,0.988675427407293,0.4962486602357985,0.5227534395680125,0.5231332618792427,0.047159699892818874,1,True,8
80,pps_w2_std,130,0.5798499464094319,200,0.4083601286173633,166,0.5168810289389068,39,2,pps_w2_max|pps_w2_std,0.9829613345623844,0.4083601286173633,0.4964968703564912,0.501697034655234,0.17148981779206857,1,True,8
81,iat_size_p90,129,0.5852090032154341,227,0.3236870310825294,197,0.3737942122186495,94,1,iat_size_p90,1.0,0.3236870310825294,0.41370390813998703,0.42756341550553767,0.26152197213290473,1,True,8
82,global_packet_count_75,123,0.592711682743837,248,0.2347266881028938,154,0.5361736334405145,86,1,global_packet_count_75,1.0,0.2347266881028938,0.4209564200775236,0.4545373347624151,0.35798499464094324,1,True,8
83,sizes_max,271,0.1618435155412647,161,0.5171489817792069,248,0.2813504823151125,127,1,sizes_max,1.0,0.1618435155412647,0.28662861632226777,0.32011432654519467,0.3553054662379422,1,True,8
84,burst_size_p75,298,0.0653804930332261,39,0.8011789924973205,229,0.2813504823151125,68,1,burst_size_p75,1.0,0.0653804930332261,0.2451744084783556,0.382636655948553,0.7357984994640944,1,True,8
85,iat_mean_out,155,0.4887459807073955,175,0.4866023579849945,160,0.5265273311897106,90,1,iat_mean_out,1.0,0.4866023579849945,0.5002949386007531,0.5006252232940335,0.03992497320471611,1,True,9
86,tam_2s_out_std,147,0.52518756698821,194,0.420150053590568,178,0.4654340836012862,13,4,tam_1s_out_max|tam_1s_out_std|tam_2s_out_max|tam_2s_out_std,0.9560342432349264,0.420150053590568,0.468301642464015,0.47025723472668807,0.105037513397642,1,True,9
87,pps_w1_std,140,0.5487674169346195,222,0.3461950696677385,175,0.4863344051446945,38,2,pps_w1_max|pps_w1_std,0.97523547869009,0.3461950696677385,0.4520794126400891,0.4604322972490175,0.202572347266881,1,True,9
88,iat_size_p75,125,0.5894962486602359,268,0.1693461950696677,219,0.2982315112540192,93,1,iat_size_p75,1.0,0.1693461950696677,0.3099345600568939,0.35235798499464094,0.4201500535905682,1,True,9
89,pps_w1_min,301,0.0546623794212218,138,0.5760986066452304,247,0.2813504823151125,121,1,pps_w1_min,1.0,0.0546623794212218,0.20692406765652896,0.30403715612718824,0.5214362272240086,1,True,9
