fold,site_label,n,v1_accuracy,v2_accuracy,delta_accuracy,v2_only_correct_n,v1_only_correct_n
B_EARLY_MIDDLE_TO_LATE,50,303,0.2871287128712871,0.31353135313531355,0.026402640264026445,10,2
B_EARLY_MIDDLE_TO_LATE,51,255,0.8862745098039215,0.8980392156862745,0.01176470588235301,3,0
B_EARLY_MIDDLE_TO_LATE,52,301,0.8338870431893688,0.8305647840531561,-0.0033222591362126463,2,3
B_EARLY_MIDDLE_TO_LATE,53,302,0.9602649006622517,0.9735099337748344,0.013245033112582738,5,1
B_EARLY_MIDDLE_TO_LATE,54,303,0.9207920792079208,0.9273927392739274,0.0066006600660065695,2,0
B_EARLY_MIDDLE_TO_LATE,55,289,0.8927335640138409,0.9065743944636678,0.01384083044982698,4,0
B_EARLY_MIDDLE_TO_LATE,57,245,0.19591836734693877,0.1836734693877551,-0.012244897959183654,2,5
B_EARLY_MIDDLE_TO_LATE,6,283,0.8586572438162544,0.8445229681978799,-0.014134275618374548,2,6
B_EARLY_MIDDLE_TO_LATE,60,303,0.8613861386138614,0.8613861386138614,0.0,2,2
B_EARLY_MIDDLE_TO_LATE,61,302,0.8940397350993378,0.9039735099337748,0.009933774834437026,5,2
B_EARLY_MIDDLE_TO_LATE,63,303,0.9075907590759076,0.9141914191419142,0.0066006600660065695,4,2
B_EARLY_MIDDLE_TO_LATE,68,302,0.6721854304635762,0.652317880794702,-0.019867549668874163,4,10
B_EARLY_MIDDLE_TO_LATE,7,303,0.9636963696369637,0.9636963696369637,0.0,1,1
B_EARLY_MIDDLE_TO_LATE,71,305,0.8459016393442623,0.8590163934426229,0.013114754098360604,4,0
B_EARLY_MIDDLE_TO_LATE,72,282,0.8475177304964538,0.8617021276595744,0.014184397163120588,4,0
B_EARLY_MIDDLE_TO_LATE,76,270,0.8629629629629629,0.8629629629629629,0.0,2,2
B_EARLY_MIDDLE_TO_LATE,77,290,0.2655172413793103,0.2655172413793103,0.0,7,7
B_EARLY_MIDDLE_TO_LATE,78,306,0.8921568627450981,0.8986928104575164,0.006535947712418277,3,1
B_EARLY_MIDDLE_TO_LATE,80,309,0.8446601941747572,0.8317152103559871,-0.012944983818770184,2,6
B_EARLY_MIDDLE_TO_LATE,81,258,0.8682170542635659,0.8643410852713178,-0.003875968992248069,1,2
B_EARLY_MIDDLE_TO_LATE,86,300,0.6933333333333334,0.7133333333333334,0.020000000000000018,6,0
B_EARLY_MIDDLE_TO_LATE,89,307,0.8143322475570033,0.8078175895765473,-0.006514657980456029,4,6
B_EARLY_MIDDLE_TO_LATE,9,303,0.8943894389438944,0.8943894389438944,0.0,4,4
B_EARLY_MIDDLE_TO_LATE,90,300,0.9466666666666667,0.9466666666666667,0.0,2,2
B_EARLY_MIDDLE_TO_LATE,92,216,0.8657407407407407,0.8611111111111112,-0.004629629629629539,3,4
B_EARLY_MIDDLE_TO_LATE,96,286,0.8356643356643356,0.8356643356643356,0.0,3,3
B_EARLY_MIDDLE_TO_LATE,97,290,0.5344827586206896,0.5103448275862069,-0.024137931034482696,2,9
B_EARLY_MIDDLE_TO_LATE,98,306,0.9738562091503268,0.9738562091503268,0.0,1,1
