fold,site_label,n_queries,xgb_accuracy,fusion_accuracy,delta_accuracy,fusion_only_correct_n,xgb_only_correct_n,net_correct_n
A_EARLY_TO_MIDDLE,21,329,0.8449848024316109,0.8480243161094225,0.003039513677811634,9,8,1
A_EARLY_TO_MIDDLE,24,245,0.8122448979591836,0.8693877551020408,0.05714285714285716,16,2,14
A_EARLY_TO_MIDDLE,25,333,0.9279279279279279,0.918918918918919,-0.009009009009008917,7,10,-3
A_EARLY_TO_MIDDLE,27,332,0.8012048192771084,0.8343373493975904,0.03313253012048201,18,7,11
A_EARLY_TO_MIDDLE,28,326,0.21779141104294478,0.27300613496932513,0.055214723926380355,18,0,18
A_EARLY_TO_MIDDLE,29,329,0.25227963525835867,0.1702127659574468,-0.08206686930091187,1,28,-27
A_EARLY_TO_MIDDLE,31,272,0.9375,0.9191176470588235,-0.018382352941176516,0,5,-5
A_EARLY_TO_MIDDLE,34,315,0.8507936507936508,0.8698412698412699,0.01904761904761909,11,5,6
A_EARLY_TO_MIDDLE,35,329,0.8844984802431611,0.9300911854103343,0.045592705167173175,16,1,15
A_EARLY_TO_MIDDLE,36,323,0.9504643962848297,0.9752321981424149,0.024767801857585203,9,1,8
A_EARLY_TO_MIDDLE,37,333,0.7657657657657657,0.7597597597597597,-0.006006006006005982,14,16,-2
A_EARLY_TO_MIDDLE,39,325,0.8276923076923077,0.8338461538461538,0.006153846153846065,10,8,2
A_EARLY_TO_MIDDLE,40,323,0.7708978328173375,0.7151702786377709,-0.05572755417956654,3,21,-18
A_EARLY_TO_MIDDLE,41,253,0.8221343873517787,0.8893280632411067,0.06719367588932801,18,1,17
A_EARLY_TO_MIDDLE,42,320,0.809375,0.80625,-0.0031249999999999334,6,7,-1
A_EARLY_TO_MIDDLE,43,316,0.8860759493670886,0.8924050632911392,0.006329113924050667,4,2,2
A_EARLY_TO_MIDDLE,45,297,0.6060606060606061,0.6127946127946128,0.006734006734006703,17,15,2
A_EARLY_TO_MIDDLE,46,305,0.42295081967213116,0.21639344262295082,-0.20655737704918034,4,67,-63
A_EARLY_TO_MIDDLE,47,326,0.7392638036809815,0.7975460122699386,0.05828220858895705,23,4,19
A_EARLY_TO_MIDDLE,48,314,0.1624203821656051,0.1942675159235669,0.031847133757961804,21,11,10
A_EARLY_TO_MIDDLE,50,326,0.8773006134969326,0.8957055214723927,0.018404907975460127,12,6,6
A_EARLY_TO_MIDDLE,51,266,0.8646616541353384,0.8759398496240601,0.011278195488721776,4,1,3
A_EARLY_TO_MIDDLE,52,325,0.8615384615384616,0.8676923076923077,0.006153846153846065,8,6,2
A_EARLY_TO_MIDDLE,53,326,0.9386503067484663,0.9478527607361963,0.009202453987730008,6,3,3
A_EARLY_TO_MIDDLE,54,328,0.8963414634146342,0.8932926829268293,-0.0030487804878048808,6,7,-1
A_EARLY_TO_MIDDLE,55,321,0.8411214953271028,0.8535825545171339,0.012461059190031154,11,7,4
A_EARLY_TO_MIDDLE,57,269,0.5390334572490706,0.10037174721189591,-0.4386617100371747,3,121,-118
A_EARLY_TO_MIDDLE,6,286,0.8111888111888111,0.8181818181818182,0.006993006993007089,7,5,2
A_EARLY_TO_MIDDLE,60,332,0.7680722891566265,0.7831325301204819,0.015060240963855387,17,12,5
A_EARLY_TO_MIDDLE,61,330,0.9393939393939394,0.9606060606060606,0.021212121212121127,9,2,7
A_EARLY_TO_MIDDLE,63,331,0.8489425981873112,0.879154078549849,0.030211480362537735,16,6,10
A_EARLY_TO_MIDDLE,68,330,0.6393939393939394,0.6696969696969697,0.030303030303030276,20,10,10
A_EARLY_TO_MIDDLE,7,328,0.8689024390243902,0.9146341463414634,0.04573170731707321,16,1,15
A_EARLY_TO_MIDDLE,71,329,0.6200607902735562,0.6170212765957447,-0.003039513677811523,2,3,-1
A_EARLY_TO_MIDDLE,72,304,0.7697368421052632,0.8125,0.042763157894736836,19,6,13
A_EARLY_TO_MIDDLE,76,296,0.8344594594594594,0.8445945945945946,0.010135135135135198,10,7,3
A_EARLY_TO_MIDDLE,77,302,0.22185430463576158,0.2251655629139073,0.0033112582781457123,1,0,1
A_EARLY_TO_MIDDLE,78,334,0.3083832335329341,0.49101796407185627,0.18263473053892215,64,3,61
A_EARLY_TO_MIDDLE,80,334,0.7904191616766467,0.7305389221556886,-0.05988023952095811,7,27,-20
A_EARLY_TO_MIDDLE,81,260,0.7423076923076923,0.7423076923076923,0.0,10,10,0
A_EARLY_TO_MIDDLE,86,329,0.7082066869300911,0.7173252279635258,0.00911854103343468,3,0,3
A_EARLY_TO_MIDDLE,89,330,0.5484848484848485,0.7151515151515152,0.16666666666666674,56,1,55
A_EARLY_TO_MIDDLE,9,328,0.7378048780487805,0.823170731707317,0.08536585365853655,29,1,28
