origin,site_label,history_days,trajectory_norm,velocity_consistency_raw,velocity_consistency_clipped
ORIGIN14,71,14,6.086620010494203,-0.39185002487467685,0.0
ORIGIN14,72,14,1.384324248756976,-0.8757289202939235,0.0
ORIGIN14,76,14,3.7524565799232836,-0.03624676889641894,0.0
ORIGIN14,77,14,4.045765588292578,-0.5935789162573196,0.0
ORIGIN14,78,14,4.349986639528669,-0.33397744552996667,0.0
ORIGIN14,80,14,1.4959305921736619,-0.8124931738098482,0.0
ORIGIN14,81,14,2.2603252515897676,-0.6946129780993904,0.0
ORIGIN14,86,14,2.314550331364231,-0.573511549295822,0.0
ORIGIN14,89,14,2.5962015753500185,-0.5265041563545355,0.0
ORIGIN14,9,14,1.414837939825586,-0.5133550265328263,0.0
ORIGIN14,90,14,2.6848838192357416,-0.14653636347574772,0.0
ORIGIN14,92,14,2.9318701878339177,-0.6482126685943818,0.0
ORIGIN14,96,14,3.0902082742364287,-0.3937552402363955,0.0
ORIGIN14,97,8,2.352293413574369,-0.6553460391356456,0.0
ORIGIN14,98,14,1.3645918115708773,-0.1942386650660947,0.0
ORIGIN28,0,28,1.418241465477007,-0.4010569995809777,0.0
ORIGIN28,10,28,1.0580671956642207,-0.4447927898580915,0.0
ORIGIN28,102,28,2.8100767078964397,-0.3230492973935141,0.0
ORIGIN28,104,28,1.2563677165369185,-0.4958344773420232,0.0
ORIGIN28,105,26,2.2332088665781202,-0.6661827094421049,0.0
ORIGIN28,106,28,1.5034083470249369,-0.8756911958401533,0.0
ORIGIN28,107,28,1.3749637338954976,-0.8913332257228739,0.0
ORIGIN28,108,28,0.807120358725407,-0.5212247552563832,0.0
ORIGIN28,109,28,2.9045474099243136,0.04590114859590351,0.04590114859590351
ORIGIN28,11,28,1.0703646546106653,-0.546961106489882,0.0
ORIGIN28,110,28,2.9425523727723153,-0.6356843810889472,0.0
ORIGIN28,113,28,1.4154763856912935,0.018857505822571653,0.018857505822571653
ORIGIN28,117,26,1.9271765879850997,-0.7834960344877445,0.0
ORIGIN28,12,28,2.3269714832217208,-0.7099456054428253,0.0
ORIGIN28,14,28,1.5507070105695644,0.07695330590213172,0.07695330590213172
ORIGIN28,18,28,1.738020557182209,-0.07296947398759791,0.0
ORIGIN28,2,28,7.025953534631832,0.01725100948090713,0.01725100948090713
ORIGIN28,21,28,1.141853232364376,-0.4886375021537841,0.0
ORIGIN28,24,28,0.9975047050238296,-0.7707915404209211,0.0
ORIGIN28,25,28,0.9975537932655669,-0.3810264201389982,0.0
ORIGIN28,27,28,1.1255693222158945,-0.7651955057639032,0.0
ORIGIN28,28,28,9.112765136070454,0.3857199175450025,0.3857199175450025
ORIGIN28,29,28,3.977905133981605,0.14584862283599748,0.14584862283599748
ORIGIN28,31,28,1.2268186523216982,0.02963709103911405,0.02963709103911405
ORIGIN28,34,28,1.428193478160391,-0.42691725001929565,0.0
